idRegistro;idUsuario;idEmpresa;tipo_operacion;fecha;hora_local;direccion_ip;dispositivo;plataforma;ubicacion;fecha_edicion;usuario_edicion;ip_edicion;descripcion;manual
4216085;209432;24878;2;"2026-02-18 14:00:00";"2026-02-18 14:00:00";90.173.187.34;Ordenador;"Chrome 144";"Lat:41.359840000000005 / Long:2.1384499999999997";;;;"Jornada Completa";1
4216086;209432;24878;3;"2026-02-18 15:00:00";"2026-02-18 15:00:00";90.173.187.34;Ordenador;"Chrome 144";"Lat:41.359840000000005 / Long:2.1384499999999997";;;;"Jornada Completa";1
4216087;209432;24878;1;"2026-02-18 18:00:00";"2026-02-18 18:00:00";90.173.187.34;Ordenador;"Chrome 144";"Lat:41.359840000000005 / Long:2.1384499999999997";;;;"Jornada Completa";1
4220654;209432;24878;0;"2026-02-19 09:00:00";"2026-02-19 09:00:00";90.173.187.34;Ordenador;"Chrome 144";"Lat:41.35982833333333 / Long:2.1384433333333335";;;;"Jornada Completa.";1
4220655;209432;24878;2;"2026-02-19 14:00:00";"2026-02-19 14:00:00";90.173.187.34;Ordenador;"Chrome 144";"Lat:41.35982833333333 / Long:2.1384433333333335";;;;"Jornada Completa.";1
4220656;209432;24878;3;"2026-02-19 15:00:00";"2026-02-19 15:00:00";90.173.187.34;Ordenador;"Chrome 144";"Lat:41.35982833333333 / Long:2.1384433333333335";;;;"Jornada Completa.";1
4220657;209432;24878;1;"2026-02-19 20:01:00";"2026-02-19 20:01:00";90.173.187.34;Ordenador;"Chrome 144";"Lat:41.35982833333333 / Long:2.1384433333333335";;;;"Jornada Completa.";1
4222194;214267;24878;0;"2026-02-19 15:00:00";"2026-02-19 15:00:00";90.173.187.34;Ordenador;"Chrome 144";"Lat:41.35982370100027 / Long:2.13844";;;;3;1
4222195;214267;24878;1;"2026-02-19 20:00:00";"2026-02-19 20:00:00";90.173.187.34;Ordenador;"Chrome 144";"Lat:41.35982370100027 / Long:2.13844";;;;3;1
4226627;209432;24878;0;"2026-02-20 09:00:00";"2026-02-20 09:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.35981784786031 / Long:2.13839529912695";;;;"Jornada Completa";1
4226628;209432;24878;2;"2026-02-20 14:00:00";"2026-02-20 14:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.35981784786031 / Long:2.13839529912695";;;;"Jornada Completa";1
