idCita;idSala
128205543;14841
128228624;14841
128247967;14841
128248552;14841
128250712;14841
128264786;14841
128264900;14840
128278717;14841
128297200;14841
128306531;14840
128309834;14840
128359772;14841
128363955;14841
128378385;14841
128381361;14840
128382727;14841
128391596;14840
128411386;14841
128426218;14840
128454739;14841
128472118;14841
128472696;14840
128473904;14840
128474304;14841
128474706;14840
128520137;14841
128531669;14841
128540017;14841
128541583;14841
128545737;14841
128626208;14841
128656430;14841
128657477;14841
128657692;14840
128658400;14841
128660718;14840
128665743;14841
128698789;14840
128717008;14841
128717393;14840
128721094;14841
128722123;14841
128722548;14840
128724641;14840
128724899;14841
128725659;14841
128738341;14840
128741572;14841
128746804;14841
128756464;14841
128775053;14841
128778465;14841
128782722;14841
128794100;14840
128819666;14841
128822332;14841
128835472;14841
128840008;14841
128846044;14840
128849082;14840
128849119;14840
128853551;14840
128866041;14841
128877334;14841
128897095;14841
128916502;14841
128943430;14841
128943819;14841
128946028;14840
128953491;14840
128986812;14841
128987997;14841
129083365;14841
129109020;14840
129111781;14840
129114471;14840
129139539;14841
129148220;14841
129158337;14841
129182492;14841
129196546;14841
129203052;14841
129213018;14840
129213507;14841
129234655;14840
129268819;14841
129268891;14841
129285021;14840
129313289;14840
129329487;14841
129345629;14841
129386148;14840
129424048;14840
129460963;14840
129463538;14840
129483175;14841
129483484;14841
129483747;14841
129489769;14841
129494183;14841
129530566;14840
129530632;14841
129640490;14841
129645872;14840
129646947;14841
129650704;14841
129652449;14841
129654448;14840
129656491;14840
129666303;14841
129670265;14840
129672250;14841
129678570;14841
129693061;14841
129707825;14840
129772409;14840
129781496;14840
129790933;14841
129805121;14840
129820021;14841
129822615;14841
129823565;14841
129836178;14840
129839702;14841
129842574;14841
129851188;14841
129857676;14841
129859760;14840
129860656;14841
129892955;14841
129893224;14841
129906431;14841
129913649;14841
129948252;14840
129953541;14841
129989823;14841
129996670;14840
130036338;14840
130054472;14840
130111504;14840
130112743;14841
130126616;14841
130151408;14841
130151750;14840
130207661;14840
130220641;14841
130242281;14841
130247167;14840
130252177;14841
130276431;14841
130279629;14841
130280262;14841
130280528;14841
130290473;14841
130325999;14840
130341090;14841
130383540;14840
130436819;14840
130444199;14840
130503612;14840
130505018;14841
130544079;14841
130563994;14841
130578299;14841
130603687;14840
130604685;14840
130605009;14840
130608899;14840
130611284;14841
130612793;14840
130688647;14840
130695384;14841
130701415;14840
130746418;14841
130759130;14841
130767152;14840
130846099;14841
130899668;14841
131038320;14841
131038734;14841
131038844;14841
131039563;14841
131136124;14840
131228867;14841
131232557;14841
131235213;14840
131235413;14841
131235563;14840
131245558;14841
131245858;14841
131296345;14840
131296418;14840
131296511;14840
131310818;14840
131314647;14840
131319461;14841
131368766;14841
131401071;14840
131417013;14841
131419670;14841
131422491;14841
131422664;14841
131472682;14840
131475920;14840
131483078;14841
131486600;14840
131494858;14841
131506618;14840
131508223;14841
131560574;14841
131560696;14841
131563965;14840
131565009;14840
131589700;14841
131593551;14841
131627841;14841
131629729;14840
131632195;14840
131634930;14841
131659109;14841
131663254;14841
131664910;14841
131678914;14840
131721295;14840
131751973;14841
131754864;14841
131766707;14841
131798720;14841
131800680;14841
131803934;14840
131807314;14841
131839695;14840
131840790;14840
131852809;14840
131853691;14841
131855978;14841
131863632;14840
131886073;14841
131889242;14840
131904384;14841
131908203;14841
131908319;14841
131908606;14841
131959791;14841
132027889;14841
132028114;14841
132032255;14841
132034387;14841
132034692;14841
132035348;14841
132035757;14840
132049944;14841
132058967;14840
132061878;14841
132069779;14841
132069923;14841
132163531;14840
132173767;14841
132189124;14840
132222709;14840
132225394;14841
132233403;14840
132242690;14840
132249419;14840
132250515;14841
132252055;14841
132272268;14841
132295792;14840
132298062;14841
132302705;14841
132307699;14841
132337651;14840
132375945;14840
132394359;14840
132396147;14840
132435804;14840
132437075;14841
132439822;14840
132452553;14840
132453405;14841
132454265;14841
132458178;14840
132473543;14840
132475902;14841
132477915;14841
132495182;14841
132496185;14841
132513172;14841
132519841;14841
132521964;14841
132525321;14841
132528986;14841
132535918;14841
132553823;14841
132562562;14841
132564208;14840
132565961;14841
132615203;14840
132627412;14840
